name,id,gender,uid,department
Ron Clements,4920,0,15810,Directing
Peter Chelsom,4921,0,36804,Directing
Dominic Sena,4922,0,58498,Directing
Tony Scott,4923,0,893,Directing
Paul Weitz,4924,0,3289,Directing
Adam McKay,4925,0,55710,Directing
Chuck Russell,4926,0,26713,Directing
Quentin Tarantino,4927,0,138,Directing
Gary Trousdale,4928,0,62047,Directing
Mark Dindal,4929,0,61411,Directing
Simon West,4930,0,12786,Directing
Stefen Fangmeier,4931,0,25453,Directing
Spike Jonze,4932,0,5953,Directing
Chris Wedge,4933,0,5713,Directing
Florian Henckel von Donnersmarck,4934,0,8193,Directing
Peter Hyams,4935,0,37710,Directing
Tom Tykwer,4936,0,1071,Directing
Pitof,4937,0,4586,Directing
Brad Silberling,4938,0,11887,Directing
Patrick Hughes,4939,0,143059,Directing
Ericson Core,4940,0,21673,Directing
Lawrence Guterman,4941,0,64191,Directing
Ron Underwood,4942,0,33485,Directing
Steve Martino,4943,0,71729,Directing
David Mamet,4944,0,1255,Directing
Zhang Yimou,4945,0,607,Directing
Ash Brannon,4946,0,12905,Directing
Frank Oz,4947,0,7908,Directing
Jay Roach,4948,0,6737,Directing
Luc Besson,4949,0,59,Directing
Michael Patrick King,4950,0,38023,Directing
Don Michael Paul,4951,0,27005,Directing
Sergei Bodrov,4952,0,130938,Directing
Wally Pfister,4953,0,559,Directing
Rupert Wyatt,4954,0,77357,Directing
Mark Waters,4955,0,54050,Directing
John Moore,4956,0,12028,Directing
John Lee Hancock,4957,0,54040,Directing
Renny Harlin,4958,0,16938,Directing
Phil Lord,4959,0,107446,Directing
Ben Stiller,4960,0,7399,Directing
Tony Bancroft,4961,0,66190,Directing
Timur Bekmambetov,4962,0,23430,Directing
Walt Becker,4963,0,68573,Directing
Dennis Dugan,4964,0,17494,Directing
Sydney Pollack,4965,0,2226,Directing
Thor Freudenthal,4966,0,109857,Directing
Brian De Palma,4967,0,1150,Directing
Mick Jackson,4968,0,8843,Directing
Alan J. Pakula,4969,0,6349,Directing
Kathryn Bigelow,4970,1,14392,Directing
John Milius,4971,0,8328,Directing
Andrei Konchalovsky,4972,0,58728,Directing
Gary Ross,4973,0,23964,Directing
Paul W.S. Anderson,4974,0,4014,Directing
Genndy Tartakovsky,4975,0,185438,Directing
Kevin Lima,4976,0,15775,Directing
Daniel Espinosa,4977,0,125738,Directing
Nancy Meyers,4978,1,17698,Directing
Jill Culton,4979,1,7881,Directing
Neil Burger,4980,0,17329,Directing
Jean-Jacques Annaud,4981,0,2352,Directing
Barry Cook,4982,0,66191,Directing
Martin Brest,4983,0,769,Directing
Andrew Davis,4984,0,12989,Directing
Bob Fosse,4985,0,66777,Directing
Tarsem Singh,4986,0,56512,Directing
Edgar Wright,4987,0,11090,Directing
Jon Amiel,4988,0,15148,Directing
Peter Segal,4989,0,13426,Directing
Pete Travis,4990,0,43141,Directing
George A. Romero,4991,0,14999,Directing
Sylvester Stallone,4992,0,16483,Directing
Todd Phillips,4993,0,57130,Directing
Karey Kirkpatrick,4994,0,52845,Directing
Gary Winick,4995,0,17046,Directing
Mimi Leder,4996,1,51984,Directing
Seth Gordon,4997,0,71600,Directing
Adam Shankman,4998,0,20739,Directing
D.J. Caruso,4999,0,40256,Directing
Anthony Minghella,5000,0,2239,Directing
Albert Hughes,5001,0,11447,Directing
Les Mayfield,5002,0,56911,Directing
Joe Pytka,5003,0,23677,Directing
Scott Derrickson,5004,0,55499,Directing
Ivan Reitman,5005,0,8858,Directing
Eric Brevig,5006,0,9622,Directing
Kelly Asbury,5007,0,12079,Directing
Stephen Hopkins,5008,0,2042,Directing
Jonathan Demme,5009,0,16294,Directing
Henry Jaglom,5010,0,117075,Directing
James Algar,5011,0,5690,Directing
Vincent Ward,5012,0,9198,Directing
Steven Brill,5013,0,32593,Directing
Terry Gilliam,5014,0,280,Directing
Lucile Hadzihalilovic,5015,0,17627,Directing
Roger Christian,5016,0,5058,Directing
Joe Dante,5017,0,4600,Directing
Kevin Costner,5018,0,1269,Directing
Antony Hoffman,5019,0,56154,Directing
Jacques Perrin,5020,0,20030,Directing
Andrés Couturier,5021,0,1172908,Directing
Roger Allers,5022,0,15812,Directing
Cody Cameron,5023,0,12095,Directing
John Singleton,5024,0,6482,Directing
Oliver Hirschbiegel,5025,0,7832,Directing
Des McAnuff,5026,0,588701,Directing
Chris Renaud,5027,0,124748,Directing
Stephen Norrington,5028,0,10808,Directing
Pierre Coffin,5029,0,124747,Directing
David Kellogg,5030,0,4759,Directing
Mike Nichols,5031,0,5342,Directing
Vicky Jenson,5032,1,12058,Directing
F. Gary Gray,5033,0,37932,Directing
Antoine Fuqua,5034,0,20907,Directing
Robert Luketic,5035,0,36797,Directing
Gil Kenan,5036,0,57193,Directing
Barry Levinson,5037,0,8246,Directing
Jerry Zucker,5038,0,3415,Directing
Andy Tennant,5039,0,17167,Directing
Florent-Emilio Siri,5040,0,1011158,Directing
Gary Goldman,5041,0,12881,Directing
Ron Shelton,5042,0,4037,Directing
Àlex Pastor,5043,0,94220,Directing
Henry Selick,5044,0,57646,Directing
Kyle Balda,5045,0,8023,Directing
Fergal Reilly,5046,0,52701,Directing
Judd Apatow,5047,0,41039,Directing
Steve Carr,5048,0,52112,Directing
Mel Gibson,5049,0,2461,Directing
David Silverman,5050,0,197,Directing
Frank Darabont,5051,0,4027,Directing
Betty Thomas,5052,1,31024,Directing
Garry Marshall,5053,0,1201,Directing
Paul Tibbitt,5054,0,217174,Directing
Clark Johnson,5055,0,47640,Directing
Cameron Crowe,5056,0,11649,Directing
Randall Wallace,5057,0,2460,Directing
Jonathan Frakes,5058,0,2388,Directing
George Clooney,5059,0,1461,Directing
Gary Shore,5060,0,1167470,Directing
Andrzej Bartkowiak,5061,0,10765,Directing
Måns Mårlind,5062,0,80923,Directing
Gregory Hoblit,5063,0,17812,Directing
Gary McKendry,5064,0,141688,Directing
Wych Kaosayananda,5065,0,65615,Directing
Mikael Salomon,5066,0,30149,Directing
Bobby Farrelly,5067,0,7395,Directing
Dan St. Pierre,5068,0,15780,Directing
Kerry Conran,5069,0,41378,Directing
Michael Caton-Jones,5070,0,30365,Directing
Mikael Håfström,5071,0,29605,Directing
Phil Alden Robinson,5072,0,23968,Directing
David Slade,5073,0,27571,Directing
Joseph Ruben,5074,0,52629,Directing
Seth MacFarlane,5075,0,52139,Directing
Alejandro Amenábar,5076,0,19840,Directing
Kinka Usher,5077,0,59646,Directing
Craig Gillespie,5078,0,50767,Directing
Rob Bowman,5079,0,12523,Directing
Doug Lefler,5080,0,58656,Directing
Scott Waugh,5081,0,293911,Directing
Lawrence Kasdan,5082,0,8844,Directing
Michael Lembeck,5083,0,15045,Directing
Tom Hooper,5084,0,70500,Directing
Nora Ephron,5085,0,9248,Directing
Angelina Jolie,5086,1,11701,Directing
Clint Eastwood,5087,0,190,Directing
Larry Charles,5088,0,6767,Directing
Stanley Kubrick,5089,0,240,Directing
Will Gluck,5090,0,82511,Directing
Glenn Ficarra,5091,0,56411,Directing
David S. Goyer,5092,0,3893,Directing
Taylor Hackford,5093,0,18596,Directing
Michael Lehmann,5094,0,7145,Directing
Stuart Beattie,5095,0,1707,Directing
Roman Polanski,5096,0,3556,Directing
Robert Rodriguez,5097,0,2294,Directing
Baltasar Kormákur,5098,0,67813,Directing
Daniel Lee,5099,0,57832,Directing
Keenen Ivory Wayans,5100,0,35689,Directing
Rob Reiner,5101,0,3026,Directing
